wissen ||| know
notre dame ||| notre
notre dame ||| notre dame
das ||| dame that
das ||| dame that registered
das ||| that
das ||| that registered
aufgezeichnet ||| registered correctly
aufgezeichnet ||| correctly
wir ||| we
wir können ||| we can
wir können ||| we can dive
können ||| can
können ||| can dive
können ||| can dive in
dem ||| in from the
dem ||| from the
dem poster ||| from the poster
dem ||| the
dem poster ||| the poster
dem poster zu ||| the poster to
poster ||| poster
poster zu ||| poster to
poster zu einer ||| poster to a
zu ||| to
zu einer ||| to a
einer ||| a
ansicht ||| view
umgebung ||| this environment
umgebung ||| environment
. ||| .
punkt ||| point
hier ||| here
hier ||| here really
ist hier ||| here really is
ist ||| really is
ist ||| really is is
ist ||| is
ist ||| is is
wir ||| we
können ||| can
können ||| can do
dinge ||| do things
dinge mit ||| do things with
dinge ||| things
dinge mit ||| things with
dinge mit ||| things with the
mit ||| with
mit ||| with the
mit ||| with the social
umgebung ||| the social environment
umgebung ||| social environment
umgebung ||| environment
davon ||| this
davon ||| this is
jetzt ||| is now
jetzt ||| is now taking
jetzt ||| now
jetzt ||| now taking
jetzt daten ||| now taking data
daten ||| taking data
daten ||| data
speicher ||| from
speicher ||| from everybody
erde ||| what the earth
erde ||| the earth
erde ||| the earth looks
erde ||| earth
erde ||| earth looks
und ||| -- and
und ||| -- and link
und ||| and
und ||| and link
miteinander ||| of that together
miteinander ||| that together
miteinander ||| that together .
miteinander ||| together
miteinander ||| together .
all ||| all
fotos ||| those photos
fotos ||| photos
teile ||| become
teile ||| become linked
miteinander ||| linked together
miteinander ||| together
, ||| ,
und ||| and
und ||| and they
und ||| and they make
etwas ||| they make something
etwas ||| make something
etwas ||| make something emergent
etwas ||| something
etwas ||| something emergent
werden ||| emergent that
werden ||| that
größer ||| greater
als ||| than
summe ||| of the parts
summe ||| the parts
summe ||| parts
. ||| .
sie ||| you
sie ||| you have
sie erhalten ein ||| you have a
erhalten ein ||| have a
erhalten ein modell ||| have a model
erhalten ein ||| a
erhalten ein modell ||| a model
erhalten ein modell ||| a model that
modell ||| model
modell ||| model that
entsteht ||| that emerges
entsteht ||| emerges
aus ||| of
erde ||| entire earth
erde ||| earth
von ||| think of
von ||| of
dies ||| this
dies ||| this as
arbeit ||| virtual earth work
arbeit ||| earth work
arbeit ||| work
ist ||| this is
ist etwas ||| this is something
ist ||| is
ist etwas ||| is something
etwas ||| something
dessen ||| that
dessen ||| that grows
dessen ||| that grows in
menschen ||| people
größer ||| benefits become greater
größer ||| become greater
größer ||| greater
. ||| use it .
. ||| it .
. ||| .
ihre ||| their
ihre eigenen ||| their own
ihre eigenen fotos ||| their own photos
eigenen ||| own
eigenen fotos ||| own photos
eigenen fotos ||| own photos are
fotos ||| photos
fotos ||| photos are
fotos ||| photos are getting
mit ||| with
mit ||| with meta-data
wenn ||| if
wenn ||| if somebody
wenn ||| if somebody bothered
wer ||| say who
wer ||| who
sind ||| all are
sind ||| are
dann ||| then
mein ||| my
mein ||| my photo
mein ||| my photo of
notre ||| photo of notre
notre ||| of notre
notre ||| of notre dame
notre ||| notre
notre ||| notre dame
notre ||| notre dame cathedral
plötzlich ||| dame cathedral suddenly
plötzlich ||| cathedral suddenly
plötzlich ||| cathedral suddenly gets
plötzlich ||| suddenly
plötzlich ||| suddenly gets
plötzlich ||| suddenly gets enriched
daten ||| of that data
daten ||| that data
daten ||| that data ,
daten ||| data
daten ||| data ,
daten ||| data , and
ich ||| , and i
ich ||| and i
ich kann ||| and i can
ich ||| i
ich kann ||| i can
kann ||| can
raum ||| that space
raum ||| that space ,
raum ||| space
raum ||| space ,
raum ||| space , into
jemand ||| using everybody else
jemand ||| everybody else
jemand ||| else
wird ||| 's
fotos ||| photos
fotos ||| photos ,
fotos ||| photos , and
machen ||| , and do
machen ||| and do
machen ||| do
art ||| kind
art ||| kind of
art ||| kind of a
erfahrung ||| cross-user social experience
erfahrung ||| social experience
erfahrung ||| social experience that
erfahrung ||| experience
erfahrung ||| experience that
somit ||| that way
somit ||| way
von ||| of
natürlich ||| course
all ||| of all
all ||| of all of
all ||| all
all ||| all of
reichen ||| is
reichen ||| is immensely
reichen ||| is immensely rich
modelle ||| rich virtual models
modelle ||| virtual models
modelle ||| virtual models of
modelle ||| models
modelle ||| models of
modelle ||| models of every
teil ||| every interesting part
teil ||| interesting part
teil ||| interesting part of
teil ||| part
teil ||| part of
erde ||| earth
erde ||| earth ,
erde ||| earth , collected
nicht ||| , collected not
nicht ||| collected not
nicht nur ||| collected not just
nicht ||| not
nicht nur ||| not just
nur ||| just
so ||| images and so
so ||| and so
so ||| and so on
so ||| so
so ||| so on
so ||| so on ,
sondern ||| on , but
sondern ||| , but
sondern ||| , but from
sondern ||| but
sondern ||| but from
sondern ||| but from the
dank ||| thank
dank ||| thank you
dank ||| thank you so
vielen ||| you so much
vielen ||| so much
vielen ||| much
. ||| .
ich ||| do i
ich ||| do i understand
ich ||| i
ich ||| i understand
ich ||| i understand this
richtig ||| understand this right
richtig ||| this right
richtig ||| right
verknüpft ||| what your
verknüpft ||| your
software ||| software
jemandem ||| is
zu einem ||| to
zu einem ||| to allow
zeitpunkt ||| is that at
zeitpunkt ||| that at
zeitpunkt ||| at
innerhalb ||| , really within
innerhalb ||| really within
innerhalb ||| within
nächsten ||| next
nächsten ||| next few
nächsten jahre ||| next few years
jahre ||| few years
jahre ||| few years ,
jahre ||| years
jahre ||| years ,
alle ||| , all
alle ||| , all the
alle ||| all
alle ||| all the
alle ||| all the pictures
ihre ||| pictures that are
ihre ||| that are
ihre ||| that are shared
ihre ||| are
ihre ||| are shared
gemeinsam ||| shared by
gemeinsam ||| shared by anyone
gemeinsam ||| by
gemeinsam ||| by anyone
gemeinsam ||| by anyone across
welt ||| across the world
welt ||| the world
welt ||| the world are
welt ||| world
welt ||| world are
welt ||| world are going
miteinander ||| basically link together
miteinander ||| link together
miteinander ||| link together ?
miteinander ||| together
miteinander ||| together ?
ja ||| yes
als ||| what this
als ||| this
anderes ||| doing is discovering
anderes ||| is discovering
anderes ||| is discovering .
anderes ||| discovering
anderes ||| discovering .
den ||| hyperlinks ,
den ||| ,
wenn ||| if
zwischen ||| will , between
zwischen ||| , between
zwischen ||| between
bildern ||| images
bildern . ||| images .
. ||| .
und ||| and
und ||| and it
und ||| and it 's
inhalts ||| content
inhalts ||| content inside
inhalts ||| content inside the
bildern ||| inside the images
bildern ||| the images
bildern ||| images
und ||| and
und ||| and that
und ||| and that gets
wirklich ||| that gets really
wirklich ||| gets really
wirklich ||| really
wenn ||| when
wenn sie ||| when you
sie ||| you
denken ||| think
denken ||| think about
viele dieser ||| of
viele dieser ||| of the
viele dieser ||| of the semantic
informationen ||| the semantic information
informationen ||| semantic information
informationen ||| semantic information that
informationen ||| information
informationen ||| information that
informationen ||| information that a
bilder ||| of those images
bilder ||| those images
bilder ||| those images have
bilder ||| images
bilder ||| images have
wie ||| like
wie ||| like when
vornehmen ||| do
eine ||| a
für ||| search for
für bilder ||| search for images
für ||| for
für bilder ||| for images
bilder ||| images
enthält ||| you type in
enthält ||| type in
enthält ||| type in phrases
enthält ||| in
enthält ||| in phrases
enthält ||| in phrases ,
und ||| phrases , and
und ||| , and
und ||| and
text ||| text
website ||| on
website ||| on the
website ||| on the web
ist ||| web page is
ist ||| page is
ist ||| page is carrying
ist ||| is
ist ||| is carrying
ist ||| is carrying a
informationen ||| information
informationen darüber ||| information about
informationen darüber ||| information about what
darüber ||| about
darüber ||| about what
darüber ||| about what that
bild ||| what that picture
bild ||| that picture
bild ||| that picture is
bild ||| picture
bild ||| picture is
bild ||| picture is of
. ||| is of .
. ||| of .
. ||| .
ihren ||| now
wenn ||| what if
wenn ||| if
bild ||| picture
bild ||| picture links
all ||| all
all ||| all of
verknüpft ||| of your
verknüpft ||| of your pictures
verknüpft ||| your
verknüpft ||| your pictures
verknüpft ? ||| your pictures ?
? ||| pictures ?
? ||| ?
dann ||| then
und ||| interconnection and
und ||| interconnection and the
und ||| and
und ||| and the
und ||| and the amount
daraus ||| of richness that
daraus ||| richness that
daraus ||| richness that comes
daraus ||| that
daraus ||| that comes
daraus ||| that comes out
wirklich ||| really
wirklich ||| really huge
es ||| it
es ||| it 's
ein ||| 's a
ein ||| 's a classic
ein ||| a
ein ||| a classic
ein ||| a classic network
das ||| that
das ist ||| that is
das ist ||| that is truly
ist ||| is
ist ||| is truly
ist ||| is truly incredible
vielen dank ||| thanks so much
vielen dank ||| so much
vielen dank ||| much
zu ||| going to
zu ||| going to talk
zu ||| to
zu ||| to talk
zu ||| to talk to
erzählen ||| about
einige ||| some
einige ||| some stuff
einige ||| some stuff that
paar ||| stuff that 's
paar ||| that 's
paar ||| 's
diese ||| this
buch ||| book
mit ||| will resonate with
mit ||| resonate with
mit anderen ||| resonate with other
mit ||| with
mit anderen ||| with other
anderen ||| other
erstellen ||| you 've
erstellen ||| 've
bereits ||| already
bereits gehört ||| already heard
gehört ||| heard
und ||| and
und ||| and i
und ||| and i 'll
versuchen ||| i 'll try
versuchen ||| 'll try
versuchen ||| 'll try to
versuchen ||| try
versuchen ||| try to
falls ||| to make
falls ||| to make some
falls ||| make
falls ||| make some
möchte ||| want to
möchte ||| to
beginnen ||| start
mit ||| with
was ||| what
was ||| what i
dem ||| the
`` ||| ``
dogma ||| official
dogma ||| official dogma
'' ||| ''
das ||| the
das offizielle dogma ||| the official
das offizielle dogma ||| the official dogma
offizielle dogma ||| official
offizielle dogma ||| official dogma
offizielle dogma von ||| official dogma of
von ||| dogma of
von was ||| dogma of what
von ||| of
von was ||| of what
von was ? ||| of what ?
was ||| what
was ? ||| what ?
? ||| ?
der ||| the
der offizielle ||| the official
der offizielle ||| the official dogma
offizielle ||| official
offizielle ||| official dogma
von ||| dogma of
von allen ||| dogma of all
von ||| of
von allen ||| of all
von allen westlichen ||| of all western
allen ||| all
allen westlichen ||| all western
westlichen ||| western
gesellschaften ||| societies
gesellschaften . ||| societies .
. ||| .
durch ||| and
offizielle dogma ||| official
offizielle dogma ||| official dogma
ziel ||| :
wenn ||| if
einzelnen ||| we
einzelnen ||| we are
einzelnen ||| we are interested
vor ||| the welfare of
vor ||| welfare of
vor ||| of
bürger ||| citizens
funktioniert ||| the way
funktioniert ||| the way to
funktioniert ||| way
funktioniert ||| way to
funktioniert ||| way to do
maximieren ||| to maximize
maximieren ||| to maximize individual
maximieren ||| maximize
maximieren ||| maximize individual
freiheit ||| individual freedom
freiheit ||| freedom
. ||| .
grund ||| reason
für ||| for
für ||| for this
dass ||| both that
dass freiheit ||| both that freedom
dass ||| that
dass freiheit ||| that freedom
dass freiheit ||| that freedom is
freiheit ||| freedom
freiheit ||| freedom is
freiheit in ||| freedom is in
in ||| is in
in ||| is in and
in ||| in
in ||| in and
in ||| in and of
gut ||| of itself good
gut ||| itself good
gut ||| good
menschliche ||| to being human
menschliche ||| being human
menschliche . ||| being human .
menschliche ||| human
menschliche . ||| human .
. ||| .
und ||| and
und niemand ||| and because
niemand ||| because
wenn ||| if
wenn menschen ||| if people
menschen ||| people
menschen freiheit haben ||| people have freedom
haben ||| have
freiheit haben ||| have freedom
freiheit ||| freedom
dann ||| then
jeder ||| each
jeder von ||| each of
von ||| of
handelt ||| can act on
handelt ||| act on
handelt ||| on
unser ||| our
unser ||| our own
tun ||| do
dinge ||| things
dinge ||| things that
dinge ||| things that will
maximieren ||| that will maximize
maximieren ||| will maximize
maximieren ||| will maximize our
maximieren ||| maximize
maximieren ||| maximize our
gemeinwohl maximieren ||| maximize our welfare
gemeinwohl ||| our welfare
gemeinwohl ||| our welfare ,
gemeinwohl ||| welfare
gemeinwohl ||| welfare ,
gemeinwohl ||| welfare , and
hat ||| no one has
hat ||| one has
hat ||| one has to
hat ||| has
hat ||| has to
entscheiden ||| to decide
entscheiden ||| to decide on
entscheiden ||| decide
entscheiden ||| decide on
entscheiden ||| decide on our
. ||| our behalf .
. ||| behalf .
. ||| .
der ||| the
der weg ||| the way
weg ||| way
freiheit ||| freedom
ist ||| is
ist ||| is to
ist ||| is to maximize
wahl ||| to maximize choice
wahl ||| maximize choice
wahl ||| choice
. ||| .
wahlmöglichkeiten ||| choice
wahlmöglichkeiten menschen ||| choice people
menschen ||| people
und ||| have , and
und ||| , and
und ||| , and the
und ||| and
und ||| and the
und ||| and the more
gemeinwohl ||| the more welfare
gemeinwohl ||| more welfare
gemeinwohl ||| more welfare they
gemeinwohl ||| welfare
gemeinwohl ||| welfare they
gemeinwohl ||| welfare they have
dies ||| this
ich ||| i
denke ich ||| i think
denke ich ||| i think ,
denke ||| think
denke ||| think ,
ist ||| , is
ist ||| is
so ||| so
so tief ||| so deeply
so tief ||| so deeply embedded
tief ||| deeply
tief ||| deeply embedded
dem ||| the
dem ||| the water
dass ||| that
würde ||| would
würde ||| would n't
würde ||| would n't occur
und ||| and
und es ||| and it
und es ist ||| and it 's
es ||| it
es ist ||| it 's
es ist auch ||| it 's also
ist ||| 's
ist auch ||| 's also
ist auch tief ||| 's also deeply
auch ||| also
auch tief ||| also deeply
auch tief ||| also deeply embedded
tief ||| deeply
tief ||| deeply embedded
in unseren leben ||| embedded in our
in unseren leben ||| in our
unseren ||| our
verwurzelt ||| lives
verwurzelt . ||| lives .
. ||| .
ich werde ||| i
ich werde ||| i 'll
ich werde ||| i 'll give
ihnen ||| 'll give you
ihnen ||| give you
ihnen ||| you
dafür geben ||| of
was ||| what
modernen ||| modern
modernen ||| modern progress
modernen ||| modern progress has
uns ||| possible for us
uns ||| for us
uns ||| us
dies ||| this
dies ist ||| this is
dies ist mein ||| this is my
ist ||| is
ist mein ||| is my
ist mein supermarkt ||| is my supermarket
mein ||| my
mein supermarkt ||| my supermarket
supermarkt ||| supermarket
kein ||| not
kein ||| not such
kein ||| not such a
großer ||| a big one
großer ||| big one
großer ||| big one .
großer ||| one
großer ||| one .
ich ||| i
ich ||| i want
ich möchte ||| i want to
möchte ||| want to
möchte ||| to
sagen ||| say
nur ||| just
nur kurz ||| just a
nur kurz ||| just a word
kurz ||| a
kurz ||| a word
über ||| word about
über salatdressing ||| word about salad
über ||| about
über salatdressing ||| about salad
über salatdressing ||| about salad dressing
salatdressing ||| salad
salatdressing ||| salad dressing
meinem ||| my
meinem supermarkt ||| my supermarket
supermarkt ||| supermarket
wenn ||| if
herzustellen ||| do
10 ||| 10
10 ||| 10 extra-virgin
10 ||| 10 extra-virgin olive
und ||| olive oils and
und ||| oils and
und ||| oils and 12
und ||| and
und ||| and 12
und ||| and 12 balsamic
könnten ||| vinegars you could
könnten ||| you could
kaufen könnten ||| you could buy
könnten ||| could
kaufen könnten ||| could buy
kaufen ||| buy
eine ||| make a
eine ||| make a very
eine ||| a
eine ||| a very
eine ||| a very large
anzahl ||| very large number
anzahl ||| large number
anzahl ||| number
eigenen ||| your own
eigenen ||| your own salad
eigenen ||| own
eigenen ||| own salad
eigenen ||| own salad dressings
also ||| so
also ||| so this
supermarkt ||| supermarket
supermarkt ||| supermarket is
wie ||| is like
wie ||| like
dann ||| then
dann gehen sie ||| then you go
sie ||| you
gehen sie ||| you go
gehen ||| go
dem ||| the
stereo anlagen ||| stereo
stereo anlagen ||| stereo system
-- ||| system --
-- ||| system -- speakers
-- ||| --
-- ||| -- speakers
in ||| -- and in
in ||| and in
in ||| in
gibt ||| store , there
gibt ||| , there
gibt ||| , there are
gibt ||| there
gibt ||| there are
gibt ||| there are that
viele ||| are that many
viele ||| that many
viele ||| that many stereo
viele ||| many
viele ||| many stereo
viele ||| many stereo systems
wir ||| we
wir können ||| we can
wir können ||| we can construct
können ||| can
können ||| can construct
stereo anlagen ||| different stereo
stereo anlagen ||| different stereo systems
stereo anlagen ||| stereo
stereo anlagen ||| stereo systems
unterschiedliche stereo anlagen ||| stereo systems out
unterschiedliche ||| systems out
unterschiedliche ||| out
komponenten ||| components
werden ||| that
werden ||| that are
diesem ||| are on
diesem ||| are on offer
diesem ||| on
diesem ||| on offer
in diesem ||| on offer in
in ||| offer in
in ||| offer in one
in ||| in
in ||| in one
geschäft ||| one store
geschäft ||| store
sie ||| you
sie ||| you 've
sie ||| you 've got
müssen ||| 've got to
müssen ||| got to
müssen zugeben ||| got to admit
müssen ||| to
müssen zugeben ||| to admit
zugeben ||| admit
dass das ||| that
ist ||| 's
eine ||| a
eine ||| a lot
eine große ||| a lot of
große ||| lot of
große auswahl ||| lot of choice
große ||| of
große auswahl ||| of choice
auswahl ||| choice
in ||| in
in anderen ||| in other
anderen ||| other
- ||| --
die welt der ||| the world
die welt der ||| the world of
welt ||| world
welt ||| world of
welt ||| world of communications
. ||| of communications .
. ||| communications .
. ||| .
war ||| was
zeit ||| time
ich ||| when i
ich ||| when i was
ich ||| i
ich ||| i was
ich ||| i was a
konnte ||| could
jeden ||| get
jeden ||| get any
jeden ||| get any kind
von ||| any kind of
von ||| kind of
von ||| kind of telephone
von ||| of
von ||| of telephone
von ||| of telephone service
wollte ||| service you wanted
wollte ||| you wanted
wollte ||| you wanted ,
wollte ||| wanted
wollte ||| wanted ,
es ||| long as it
es ||| as it
es ||| it
kam ||| came
kam ||| came from
kam ||| came from ma
telefon ||| your phone
telefon ||| phone
nicht ||| you did n't
nicht ||| did n't
nicht ||| did n't buy
nicht ||| n't
nicht ||| n't buy
es nicht ||| n't buy it
es ||| buy it
es ||| buy it .
es ||| it
es ||| it .
folge ||| one consequence
folge ||| one consequence of
folge ||| consequence
folge ||| consequence of
das ||| by the
das ||| by the way
das ||| the
das ||| the way
das ||| the way ,
eine ||| way , is
eine ||| , is
eine ||| , is that
eine ||| is
eine ||| is that
eine ||| is that the
telefon ||| that the phone
telefon ||| the phone
telefon niemals ||| the phone never
telefon ||| phone
telefon niemals ||| phone never
telefon niemals kaputt ||| phone never broke
niemals ||| never
niemals kaputt ||| never broke
kaputt ||| broke
. ||| .
tage ||| and those
tage ||| those
tage sind vorbei ||| those days are
vorbei ||| days
sind vorbei ||| days are
sind vorbei ||| days are gone
sind ||| are
sind ||| are gone
wir ||| we
wir haben jetzt ||| we now have
jetzt ||| now
haben jetzt ||| now have
haben jetzt ||| now have an
haben ||| have
haben ||| have an
fast ||| an almost
fast ||| almost
mobiltelefone ||| phones
, ||| ,
, ||| , especially
, besonders in ||| , especially in
besonders in ||| especially in
besonders in ||| in
welt ||| world
welt ||| world of
welt ||| world of cell
. ||| cell phones .
. ||| phones .
. ||| .
sind ||| these are
sind ||| these are cell
sind ||| are
sind ||| are cell
mobiltelefone ||| cell phones
mobiltelefone ||| cell phones of
mobiltelefone ||| phones
mobiltelefone ||| phones of
die mobiltelefone der ||| phones of the
zukunft ||| future
mein ||| my
ist ||| is
der in der ||| the
der in der ||| the middle
mitte ||| middle one
mitte -- ||| middle one --
mitte ||| one
mitte -- ||| one --
mitte -- ||| one -- the
-- ||| --
-- ||| -- the
-- ||| -- the mp3
, ||| mp3 player ,
, ||| player ,
, ||| player , nose
, ||| ,
, ||| , nose
, ||| , nose hair
und ||| trimmer , and
und ||| , and
und ||| , and creme
und ||| and
und ||| and creme
und ||| and creme brulee
. ||| brulee torch .
. ||| torch .
. ||| .
und ||| and
und ||| and if
und ||| and if by
haben ||| have
gesehen ||| seen
ihrem ||| your
ihrem geschäft ||| your store
ihrem geschäft ||| your store yet
geschäft ||| store
geschäft ||| store yet
können ||| you can
können ||| you can rest
können ||| can
können ||| can rest
sicher ||| rest assured
sicher ||| rest assured that
sicher ||| assured
sicher ||| assured that
sicher ||| assured that one
bald ||| one day soon
bald ||| day soon
bald ||| day soon you
bald ||| soon
bald ||| soon you
bald ||| soon you will
was ||| what
diese ||| this
tut ||| does
tut ist ||| does is
ist ||| is
menschen ||| people
frage ||| asking this question
frage ||| this question
frage ||| question
sie ||| and do you
sie ||| do you
wissen sie ||| do you know
sie ||| you
wissen sie ||| you know
wissen ||| know
was ||| what
die antwort auf ||| the answer
die antwort auf ||| the answer to
antwort ||| answer
antwort ||| answer to
diese ||| to this
diese frage ||| to this question
diese ||| this
diese frage ||| this question
frage ||| question
jetzt ||| now
ist ||| is
ist ? ||| is ?
? ||| ?
die ||| the
die antwort ||| the answer
die antwort ist ||| the answer is
antwort ||| answer
antwort ist ||| answer is
antwort ist `` ||| answer is ``
ist ||| is
ist `` ||| is ``
ist `` nein ||| is `` no
`` ||| ``
`` nein ||| `` no
`` nein . ||| `` no .
nein ||| no
nein . ||| no .
nein . '' ||| no . ''
. ||| .
. '' ||| . ''
'' ||| ''
es ||| it
es ist ||| it is
ist ||| is
möglich ||| possible
kaufen ||| buy
ein ||| a
ein ||| a cell
ein mobiltelefon ||| a cell phone
mobiltelefon ||| cell phone
mobiltelefon ||| phone
das ||| that
tut ||| does
tut ||| does n't
tut ||| does n't do
viel ||| do too much
viel ||| too much
viel ||| much
in ||| in
in anderen ||| in other
anderen ||| other
kaufen von ||| of
lebens ||| life
lebens ||| life that
sind ||| that are
sind ||| are
viel ||| much
viel ||| much more
viel ||| much more significant
als ||| more significant than
als ||| significant than
als ||| significant than buying
als ||| than
als ||| than buying
als ||| than buying things
explosion ||| same explosion
explosion ||| same explosion of
explosion ||| explosion
explosion ||| explosion of
auswahlmöglichkeiten ||| of choice
auswahlmöglichkeiten ||| of choice is
auswahlmöglichkeiten ||| choice
auswahlmöglichkeiten ||| choice is
auswahlmöglichkeiten ||| choice is true
gesundheitswesen ||| health care
gesundheitswesen -- ||| health care --
gesundheitswesen ||| care
gesundheitswesen -- ||| care --
gesundheitswesen -- es ||| care -- it
-- ||| --
-- es ||| -- it
es ||| it
länger ||| no longer
länger ||| longer
fall ||| case
fall in ||| case in
fall in ||| case in the
in ||| in
in ||| in the
vereinigten ||| the united
vereinigten staaten ||| the united states
vereinigten ||| united
vereinigten staaten ||| united states
vereinigten staaten ||| united states that
staaten ||| states
staaten ||| states that
gehen ||| go
nicht ||| ,
und ||| and
und ||| and the
und ||| and the doctor
was ||| tells you what
was ||| you what
was ||| you what to
was ||| what
was ||| what to
tun ||| to do
tun ||| do
. ||| .
: ||| instead ,
: ||| ,
gehen ||| go
zum ||| to
der ||| the
und ||| , and
und ||| , and the
und ||| and
und ||| and the
und ||| and the doctor
sagt ||| you , ``
sagt ||| , ``
sagt ||| ``
stattdessen ||| well
stattdessen ||| well ,
a ||| a
a ||| a ,
oder ||| , or
oder ||| , or we
oder ||| or
oder ||| or we
oder ||| or we could
b ||| could do b
b ||| do b
b ||| b
. ||| .
a ||| a
a hat ||| a has
a hat diese ||| a has these
hat ||| has
hat diese ||| has these
hat diese vorteile ||| has these benefits
diese ||| these
diese vorteile ||| these benefits
diese vorteile ||| these benefits ,
vorteile ||| benefits
vorteile ||| benefits ,
vorteile und ||| benefits , and
und ||| , and
und ||| , and these
und ||| and
und ||| and these
und risiken ||| and these risks
risiken ||| these risks
risiken . ||| these risks .
risiken ||| risks
risiken . ||| risks .
. ||| .
b ||| b
b hat ||| b has
b hat diese ||| b has these
hat ||| has
hat diese ||| has these
hat diese vorteile ||| has these benefits
diese ||| these
diese vorteile ||| these benefits
diese vorteile ||| these benefits ,
vorteile ||| benefits
vorteile ||| benefits ,
vorteile und ||| benefits , and
und ||| , and
und ||| , and these
und ||| and
und ||| and these
und risiken ||| and these risks
risiken ||| these risks
risiken . ||| these risks .
risiken ||| risks
risiken . ||| risks .
risiken . was ||| risks . what
. ||| .
. was ||| . what
was ||| what
tun ||| do
sie tun ||| do you
wollen sie tun ||| do you want
sie ||| you
wollen sie ||| you want
wollen sie ||| you want to
wollen ||| want
wollen ||| want to
wollen ||| want to do
? ||| to do ?
? ||| do ?
? ||| do ? ''
? ||| ?
? ||| ? ''
und ||| and
und sie ||| and you
und sie sagen ||| and you say
sie ||| you
sie sagen ||| you say
sagen ||| say
`` ||| ``
`` doktor ||| `` doc
`` doktor ||| `` doc ,
doktor ||| doc
doktor ||| doc ,
was ||| , what
was soll ||| , what should
was ||| what
was soll ||| what should
was soll ich ||| what should i
soll ||| should
soll ich ||| should i
soll ich tun ||| should i do
ich ||| i
ich tun ||| i do
ich tun ? ||| i do ?
tun ||| do
tun ? ||| do ?
tun ? '' ||| do ? ''
? ||| ?
? '' ||| ? ''
'' ||| ''
der ||| the
der doktor ||| the doc
der doktor sagt ||| the doc says
doktor ||| doc
doktor sagt ||| doc says
doktor sagt , ||| doc says ,
sagt ||| says
sagt , ||| says ,
sagt , ||| says , ``
, ||| ,
, ||| , ``
, a ||| , `` a
a ||| `` a
a ||| a
diese ||| these
b ||| , and b
b ||| and b
b ||| and b has
b ||| b
b ||| b has
b ||| b has these
. ||| and risks .
. ||| risks .
. ||| .
was ||| what
tun ||| do
sie tun ||| do you
wollen sie tun ||| do you want
sie ||| you
wollen sie ||| you want
wollen sie ||| you want to
wollen ||| want
wollen ||| want to
wollen ||| want to do
? ||| to do ?
? ||| do ?
? ||| do ? ''
? ||| ?
? ||| ? ''
und ||| and
sagen ||| say
`` ||| ``
wären ||| you were me
wären ||| were me
wären ||| were me ,
wären ||| me
wären ||| me ,
doktor ||| , doc
doktor ||| , doc ,
doktor ||| doc
doktor ||| doc ,
was ||| , what
was würden ||| , what would
was ||| what
was würden ||| what would
was würden ||| what would you
würden ||| would
würden ||| would you
tun ||| you do
tun ? ||| you do ?
tun ||| do
tun ? ||| do ?
tun ? '' ||| do ? ''
? ||| ?
? '' ||| ? ''
'' ||| ''
der ||| and the
der doktor ||| and the doc
der ||| the
der doktor ||| the doc
der doktor sagt ||| the doc says
doktor ||| doc
doktor sagt ||| doc says
doktor sagt , ||| doc says ,
sagt ||| says
sagt , ||| says ,
sagt , `` ||| says , ``
, ||| ,
, `` ||| , ``
, `` aber ||| , `` but
`` ||| ``
`` aber ||| `` but
`` aber ich ||| `` but i
aber ||| but
aber ich ||| but i
aber ich bin ||| but i 'm
ich ||| i
ich bin ||| i 'm
ich bin nicht ||| i 'm not
bin ||| 'm
bin nicht ||| 'm not
bin nicht sie ||| 'm not you
nicht ||| not
nicht sie ||| not you
nicht sie . ||| not you .
sie ||| you
sie . ||| you .
sie . '' ||| you . ''
. ||| .
. '' ||| . ''
'' ||| ''
ergebnis ||| result
wir ||| we
wir nennen ||| we call
nennen ||| call
`` ||| ``
, ||| autonomy ,
, ||| ,
'' ||| ''
'' ||| '' which
'' ||| '' which makes
gute ||| good
gute sache ||| good thing
gute sache ||| good thing ,
sache ||| thing
sache ||| thing ,
aber ||| , but
aber ||| , but what
aber ||| but
aber ||| but what
aber ||| but what it
verantwortung ||| and the responsibility
verantwortung ||| the responsibility
verantwortung für ||| the responsibility for
verantwortung ||| responsibility
verantwortung für ||| responsibility for
verantwortung für ||| responsibility for decision-making
für ||| for
für ||| for decision-making
entscheidung ||| decision-making from
entscheidung ||| from
etwas ||| something
etwas ||| something --
etwas ||| something -- namely
doktor ||| , the doctor
doktor ||| the doctor
doktor ||| the doctor --
doktor ||| doctor
doktor ||| doctor --
nichts ||| who knows nothing
nichts ||| knows nothing
nichts ||| knows nothing and
nichts ||| nothing
nichts ||| nothing and
nichts ||| nothing and is
nicht ||| and thus not
nicht ||| thus not
nicht ||| not
entscheidungen ||| making decisions
entscheidungen ||| making decisions --
entscheidungen ||| decisions
entscheidungen ||| decisions --
entscheidungen ||| decisions -- namely
gibt ||| there
weil ||| 's
weil ||| 's enormous
weil ||| 's enormous marketing
ein ||| enormous marketing of
ein ||| marketing of
ein ||| of
leute ||| people
leute wie ||| people like
wie ||| like
und ||| and
und mich ||| and me
mich ||| me
wenn ||| which , if
wenn ||| , if
wenn ||| , if you
wenn ||| if
wenn ||| if you
nachdenken ||| you think
darüber nachdenken ||| you think about
nachdenken ||| think
darüber nachdenken ||| think about
darüber ||| about
es ||| it
es ||| it ,
macht ||| , makes
macht ||| , makes no
macht ||| makes
macht ||| makes no
sinn macht ||| makes no sense
sinn ||| no sense
